timestamp,node,system,machine,fpc_score,fpa_score,fpm_score,fpd_score,brs_score,brm_score
2025-06-07 16:11:34,Phantom,Windows,AMD64,37282626.01187891,36836364.841139324,37445067.80942453,31178210.34843305,22317020.2429549,15175566.510539083
2025-06-07 16:11:35,Phantom,Windows,AMD64,37410554.73396554,37431521.29642278,37553763.19369098,30929036.640207544,22921663.59364615,15221196.398770815
2025-06-07 16:11:49,Phantom,Windows,AMD64,34928371.032592826,36460941.48042386,37484973.820923716,31459286.79728638,23573329.84946556,14315304.549239231
2025-06-07 16:11:50,Phantom,Windows,AMD64,36797459.78091571,37468276.7177935,36158049.1350943,31438788.033928797,23201505.464459162,15121813.812111503
2025-06-07 16:11:52,Phantom,Windows,AMD64,37215950.15357134,36664525.061267756,37255860.923085116,31049746.668650597,23041720.944687057,15010857.74317873
2025-06-07 16:11:53,Phantom,Windows,AMD64,36442635.79444203,36279093.07862187,36824522.90021356,29773158.135912985,20389293.703139883,14533397.711284975
2025-06-07 16:11:55,Phantom,Windows,AMD64,37090580.06618794,37504934.07495534,36065155.87564979,30829567.06998663,22981305.902763765,15460438.78518521
2025-06-07 16:11:56,Phantom,Windows,AMD64,36965291.96983581,37578508.202444054,37680972.36245828,31127268.464883342,22784319.324385997,15368632.857016563
2025-06-07 16:11:57,Phantom,Windows,AMD64,37632236.374076396,37101031.653373994,37545091.86968956,31652844.058787644,23184760.92287937,15226761.993225435
2025-06-07 16:11:59,Phantom,Windows,AMD64,37588175.89419333,37662266.08445829,37407604.74878349,31344565.429440916,22901820.030523196,15101783.769313857
2025-06-07 16:12:00,Phantom,Windows,AMD64,36322783.707849585,37222498.55649568,37201809.24835715,29600911.69179964,22455807.348187815,15223120.085407369
2025-06-07 16:12:01,Phantom,Windows,AMD64,36593287.51612151,37218518.69089764,35067811.70116461,31087908.996274013,22997654.16039286,15048976.51755207
2025-06-07 16:12:02,Phantom,Windows,AMD64,35065987.07457345,36897465.1791365,36942400.65032068,30931030.542693913,23202896.501188967,15188883.214392314
2025-06-07 16:12:07,Phantom,Windows,AMD64,35716913.10947874,35419364.94331368,35511114.978352755,29485234.447859395,23096013.8783517,15405369.093912907
2025-06-07 16:12:09,Phantom,Windows,AMD64,37270485.04721058,37454730.14451339,37642170.02719077,30674047.512811016,22710716.65403534,15275921.795234546
